"","condition","block","category","token","N_A","N_B","N_C","N_subj","dot1x","dot1y","dot2x","dot2y","dot3x","dot3y","dot4x","dot4y","dot5x","dot5y","dot6x","dot6y","dot7x","dot7y","dot8x","dot8y","dot9x","dot9y"
"1",1,1,1,1,8,10,2,20,13,-7,4,12,14,-2,-16,9,-11,-1,-6,0,-5,8,-6,-9,17,5
"2",1,1,1,2,9,7,4,20,13,3,-5,18,11,-4,-10,10,-10,-2,-6,5,-5,8,-1,-11,13,9
"3",1,1,1,3,5,12,3,20,13,2,-6,20,13,-3,-10,10,-11,-1,1,8,-9,3,-7,-8,12,10
"4",1,1,1,4,13,6,1,20,13,3,-5,19,14,-2,-10,10,-12,-1,-6,5,-6,8,-5,-10,12,11
"5",1,1,1,5,13,3,4,20,13,3,-6,21,23,3,-10,10,-11,-1,-6,4,-3,6,-6,-8,13,8
"6",1,1,1,6,11,7,2,20,13,2,-4,17,14,-2,-11,11,-11,-1,-5,5,-8,5,-7,-8,12,8
"7",1,1,1,7,11,6,3,20,12,3,-4,17,9,3,-10,10,-11,-1,-4,3,-5,8,-5,-10,13,9
"8",1,1,1,8,13,5,2,20,13,3,-5,18,13,-1,-16,3,-10,-2,-5,4,-5,7,-6,-9,13,10
"9",1,1,1,9,11,1,8,20,10,0,-4,17,19,7,-10,11,-10,-2,-7,3,-10,16,-6,-9,13,9
"10",1,1,2,1,6,13,1,20,10,13,-1,10,13,-1,-14,20,-12,-6,-2,4,-13,11,-9,-9,11,4
"11",1,1,2,2,9,9,2,20,10,13,-9,14,14,-1,-13,20,-8,-5,-1,3,-14,11,-9,-7,11,4
"12",1,1,2,3,5,14,1,20,10,14,0,11,12,0,-14,20,-12,-4,-1,3,-13,10,-9,-7,11,4
"13",1,1,2,4,5,12,3,20,10,13,-1,14,14,-2,-15,20,-13,-5,0,7,-14,11,-9,-7,10,5
"14",1,1,2,5,5,13,2,20,10,13,1,10,13,-1,-12,20,-11,-5,-1,4,-14,11,-9,-7,11,5
"15",1,1,2,6,9,8,3,20,10,14,3,3,13,-2,-12,19,-12,-5,-1,4,-15,13,-8,-7,11,4
"16",1,1,2,7,4,14,2,20,11,14,-1,12,13,-3,-14,20,-12,-6,0,2,-14,11,-10,-7,12,5
"17",1,1,2,8,3,15,2,20,11,12,1,10,13,-1,-13,20,-12,-6,-2,3,-15,11,-8,-8,11,3
"18",1,1,2,9,2,16,2,20,10,13,-1,11,13,-1,-12,20,-12,-5,0,2,-12,11,-8,-7,11,4
"19",1,1,3,1,5,5,10,20,14,-1,-3,19,9,-5,-10,9,-6,-13,-2,0,-13,19,-3,-12,13,5
