"","condition","block","category","N_A","N_B","N_C","N_subj"
"1",1,1,1,442,130,121,77
"2",1,1,2,120,463,110,77
"3",1,1,3,152,131,410,77
"4",1,2,1,528,97,68,77
"5",1,2,2,71,551,71,77
"6",1,2,3,69,82,542,77
"7",1,3,1,548,76,69,77
"8",1,3,2,60,582,51,77
"9",1,3,3,64,79,550,77
"10",1,4,1,565,76,52,77
"11",1,4,2,47,591,55,77
"12",1,4,3,52,67,574,77
"13",1,5,1,586,57,50,77
"14",1,5,2,43,590,60,77
"15",1,5,3,44,72,577,77
"16",1,6,1,597,57,39,77
"17",1,6,2,43,604,46,77
"18",1,6,3,29,67,597,77
"19",1,7,1,596,52,45,77
"20",1,7,2,40,602,51,77
"21",1,7,3,52,77,564,77
"22",1,8,1,601,61,31,77
"23",1,8,2,38,614,41,77
"24",1,8,3,39,61,593,77
"25",1,9,1,607,51,35,77
"26",1,9,2,34,626,33,77
"27",1,9,3,39,54,600,77
"28",1,10,1,631,42,20,77
"29",1,10,2,32,633,28,77
"30",1,10,3,35,41,617,77
"31",2,1,1,344,206,152,78
"32",2,1,2,190,357,155,78
"33",2,1,3,175,207,320,78
"34",2,2,1,402,155,145,78
"35",2,2,2,131,415,156,78
"36",2,2,3,157,172,373,78
"37",2,3,1,439,138,125,78
"38",2,3,2,123,458,121,78
"39",2,3,3,144,188,370,78
"40",2,4,1,443,150,109,78
"41",2,4,2,95,475,132,78
"42",2,4,3,124,175,403,78
"43",2,5,1,455,128,119,78
"44",2,5,2,103,481,118,78
"45",2,5,3,113,140,449,78
"46",2,6,1,454,130,118,78
"47",2,6,2,112,476,114,78
"48",2,6,3,100,155,447,78
"49",2,7,1,474,129,99,78
"50",2,7,2,97,500,105,78
"51",2,7,3,95,162,445,78
"52",2,8,1,504,110,88,78
"53",2,8,2,87,509,106,78
"54",2,8,3,101,148,453,78
"55",2,9,1,486,137,79,78
"56",2,9,2,80,501,121,78
"57",2,9,3,103,152,447,78
"58",2,10,1,506,111,85,78
"59",2,10,2,78,519,105,78
"60",2,10,3,106,157,439,78
"61",3,1,1,293,218,164,75
"62",3,1,2,200,283,192,75
"63",3,1,3,208,233,234,75
"64",3,2,1,295,190,190,75
"65",3,2,2,170,292,213,75
"66",3,2,3,183,224,268,75
"67",3,3,1,319,189,167,75
"68",3,3,2,170,292,213,75
"69",3,3,3,162,226,287,75
"70",3,4,1,296,210,169,75
"71",3,4,2,189,313,173,75
"72",3,4,3,161,234,280,75
"73",3,5,1,329,208,138,75
"74",3,5,2,187,328,160,75
"75",3,5,3,164,204,307,75
"76",3,6,1,336,186,153,75
"77",3,6,2,192,329,154,75
"78",3,6,3,148,213,314,75
"79",3,7,1,342,164,169,75
"80",3,7,2,179,362,134,75
"81",3,7,3,166,194,315,75
"82",3,8,1,325,187,163,75
"83",3,8,2,179,355,141,75
"84",3,8,3,163,200,312,75
"85",3,9,1,345,173,157,75
"86",3,9,2,184,351,140,75
"87",3,9,3,154,193,328,75
"88",3,10,1,324,205,146,75
"89",3,10,2,163,375,137,75
"90",3,10,3,174,184,317,75
"91",4,1,1,327,192,147,74
"92",4,1,2,182,342,142,74
"93",4,1,3,171,173,322,74
"94",4,2,1,353,162,151,74
"95",4,2,2,151,371,144,74
"96",4,2,3,125,158,383,74
"97",4,3,1,372,155,139,74
"98",4,3,2,140,409,117,74
"99",4,3,3,123,146,397,74
"100",4,4,1,391,153,122,74
"101",4,4,2,143,420,103,74
"102",4,4,3,125,138,403,74
"103",4,5,1,416,146,104,74
"104",4,5,2,122,415,129,74
"105",4,5,3,109,154,403,74
"106",4,6,1,403,143,120,74
"107",4,6,2,137,421,108,74
"108",4,6,3,121,124,421,74
"109",4,7,1,414,144,108,74
"110",4,7,2,119,450,97,74
"111",4,7,3,106,126,434,74
"112",4,8,1,429,129,108,74
"113",4,8,2,105,457,104,74
"114",4,8,3,117,119,430,74
"115",4,9,1,446,132,88,74
"116",4,9,2,104,444,118,74
"117",4,9,3,92,118,456,74
"118",4,10,1,446,123,97,74
"119",4,10,2,90,467,109,74
"120",4,10,3,97,120,449,74
